"Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2012)"
"Weight: PUMS person weight (PWGTP)"
"Universe:"
"Selected Geographies:"
"  California"
"","","Selected Geographies"
"Group","Recode for Total person's income (use ADJINC to adjust to constant dollars)","California"
"","Total","27,727,804"
" -> 00 to 17","","1,473,724"
" -> 00 to 17 -> Children under 15","","567,587"
" -> 00 to 17 -> Children under 15 -> Male","","303,943"
" -> 00 to 17 -> Children under 15 -> Male -> White","","180,590"
"","No Income","174,375"
"","$5,000 to $9,999","3,763"
"","$10,000 to $14,999","670"
"","$15,000 to $24,999","1,380"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","74"
"","$50,000 to $74,999","154"
"","$75,000 and over","174"
" -> 00 to 17 -> Children under 15 -> Male -> African American","","22,440"
"","No Income","20,622"
"","$5,000 to $9,999","1,358"
"","$10,000 to $14,999","363"
"","$15,000 to $24,999","97"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> Native American","","2,603"
"","No Income","2,422"
"","$5,000 to $9,999","181"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> Asian","","24,949"
"","No Income","24,222"
"","$5,000 to $9,999","408"
"","$10,000 to $14,999","258"
"","$15,000 to $24,999","61"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> Other","","73,361"
"","No Income","70,203"
"","$5,000 to $9,999","2,475"
"","$10,000 to $14,999","634"
"","$15,000 to $24,999","49"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female","","263,644"
" -> 00 to 17 -> Children under 15 -> Female -> White","","155,872"
"","No Income","152,226"
"","$5,000 to $9,999","2,380"
"","$10,000 to $14,999","876"
"","$15,000 to $24,999","278"
"","$25,000 to $34,999","112"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> African American","","18,554"
"","No Income","17,621"
"","$5,000 to $9,999","605"
"","$10,000 to $14,999","280"
"","$15,000 to $24,999","48"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> Native American","","1,293"
"","No Income","1,269"
"","$5,000 to $9,999","19"
"","$10,000 to $14,999","5"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> Asian","","25,282"
"","No Income","24,526"
"","$5,000 to $9,999","283"
"","$10,000 to $14,999","473"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> Other","","62,643"
"","No Income","61,439"
"","$5,000 to $9,999","981"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","160"
"","$25,000 to $34,999","63"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma","","851,956"
" -> 00 to 17 -> No high school diploma -> Male","","439,773"
" -> 00 to 17 -> No high school diploma -> Male -> White","","256,419"
"","No Income","244,838"
"","$5,000 to $9,999","8,480"
"","$10,000 to $14,999","1,627"
"","$15,000 to $24,999","859"
"","$25,000 to $34,999","234"
"","$35,000 to $49,999","266"
"","$50,000 to $74,999","115"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> African American","","30,676"
"","No Income","28,844"
"","$5,000 to $9,999","1,615"
"","$10,000 to $14,999","163"
"","$15,000 to $24,999","54"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Native American","","2,655"
"","No Income","2,233"
"","$5,000 to $9,999","375"
"","$10,000 to $14,999","44"
"","$15,000 to $24,999","3"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Asian","","55,705"
"","No Income","54,069"
"","$5,000 to $9,999","716"
"","$10,000 to $14,999","208"
"","$15,000 to $24,999","712"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Other","","94,318"
"","No Income","90,567"
"","$5,000 to $9,999","2,592"
"","$10,000 to $14,999","786"
"","$15,000 to $24,999","39"
"","$25,000 to $34,999","305"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","29"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female","","412,183"
" -> 00 to 17 -> No high school diploma -> Female -> White","","241,395"
"","No Income","228,384"
"","$5,000 to $9,999","8,664"
"","$10,000 to $14,999","3,219"
"","$15,000 to $24,999","859"
"","$25,000 to $34,999","47"
"","$35,000 to $49,999","108"
"","$50,000 to $74,999","0"
"","$75,000 and over","114"
" -> 00 to 17 -> No high school diploma -> Female -> African American","","25,067"
"","No Income","23,272"
"","$5,000 to $9,999","1,368"
"","$10,000 to $14,999","289"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","138"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> Native American","","1,556"
"","No Income","1,469"
"","$5,000 to $9,999","82"
"","$10,000 to $14,999","5"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> Asian","","49,175"
"","No Income","47,458"
"","$5,000 to $9,999","849"
"","$10,000 to $14,999","659"
"","$15,000 to $24,999","209"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> Other","","94,990"
"","No Income","91,359"
"","$5,000 to $9,999","2,199"
"","$10,000 to $14,999","914"
"","$15,000 to $24,999","518"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent","","39,131"
" -> 00 to 17 -> High school or equivalent -> Male","","16,649"
" -> 00 to 17 -> High school or equivalent -> Male -> White","","9,602"
"","No Income","8,308"
"","$5,000 to $9,999","296"
"","$10,000 to $14,999","618"
"","$15,000 to $24,999","113"
"","$25,000 to $34,999","73"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","194"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> African American","","681"
"","No Income","593"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","88"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Native American","","0"
"","No Income","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Asian","","2,840"
"","No Income","2,120"
"","$5,000 to $9,999","581"
"","$10,000 to $14,999","42"
"","$15,000 to $24,999","37"
"","$25,000 to $34,999","60"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Other","","3,526"
"","No Income","3,343"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","134"
"","$25,000 to $34,999","49"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female","","22,482"
" -> 00 to 17 -> High school or equivalent -> Female -> White","","13,408"
"","No Income","12,433"
"","$5,000 to $9,999","545"
"","$10,000 to $14,999","274"
"","$15,000 to $24,999","112"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","44"
" -> 00 to 17 -> High school or equivalent -> Female -> African American","","2,200"
"","No Income","1,860"
"","$5,000 to $9,999","247"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","93"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> Native American","","19"
"","No Income","19"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> Asian","","2,616"
"","No Income","2,436"
"","$5,000 to $9,999","148"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","32"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> Other","","4,239"
"","No Income","3,451"
"","$5,000 to $9,999","379"
"","$10,000 to $14,999","230"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","179"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree","","15,050"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male","","7,637"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> White","","3,892"
"","No Income","3,213"
"","$5,000 to $9,999","408"
"","$10,000 to $14,999","114"
"","$15,000 to $24,999","157"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> African American","","533"
"","No Income","179"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","354"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Native American","","144"
"","No Income","0"
"","$5,000 to $9,999","144"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Asian","","800"
"","No Income","701"
"","$5,000 to $9,999","99"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Other","","2,268"
"","No Income","1,440"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","828"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
