"Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2016)"
"Weight: PUMS person weight (PWGTP)"
"Universe:"
"Selected Geographies:"
"  California"
"","","Selected Geographies"
"Group","Recode for Total person's income (use ADJINC to adjust to constant dollars)","California"
"","Total","29,466,101"
" -> 00 to 17","","1,361,566"
" -> 00 to 17 -> Children under 15","","515,936"
" -> 00 to 17 -> Children under 15 -> Male","","270,756"
" -> 00 to 17 -> Children under 15 -> Male -> White","","152,976"
"","No Income","148,207"
"","$5,000 to $9,999","1,795"
"","$10,000 to $14,999","2,005"
"","$15,000 to $24,999","935"
"","$25,000 to $34,999","34"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> African American","","14,460"
"","No Income","13,035"
"","$5,000 to $9,999","1,248"
"","$10,000 to $14,999","177"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> Native American","","1,052"
"","No Income","869"
"","$5,000 to $9,999","183"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> Asian","","26,126"
"","No Income","25,322"
"","$5,000 to $9,999","485"
"","$10,000 to $14,999","190"
"","$15,000 to $24,999","129"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> Other","","76,142"
"","No Income","74,818"
"","$5,000 to $9,999","743"
"","$10,000 to $14,999","324"
"","$15,000 to $24,999","64"
"","$25,000 to $34,999","193"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female","","245,180"
" -> 00 to 17 -> Children under 15 -> Female -> White","","143,301"
"","No Income","137,868"
"","$5,000 to $9,999","2,877"
"","$10,000 to $14,999","1,354"
"","$15,000 to $24,999","994"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","50"
"","$50,000 to $74,999","93"
"","$75,000 and over","65"
" -> 00 to 17 -> Children under 15 -> Female -> African American","","14,486"
"","No Income","13,805"
"","$5,000 to $9,999","290"
"","$10,000 to $14,999","310"
"","$15,000 to $24,999","81"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> Native American","","847"
"","No Income","837"
"","$5,000 to $9,999","10"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> Asian","","23,496"
"","No Income","23,128"
"","$5,000 to $9,999","66"
"","$10,000 to $14,999","175"
"","$15,000 to $24,999","127"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> Other","","63,050"
"","No Income","60,727"
"","$5,000 to $9,999","1,429"
"","$10,000 to $14,999","564"
"","$15,000 to $24,999","330"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma","","805,017"
" -> 00 to 17 -> No high school diploma -> Male","","412,503"
" -> 00 to 17 -> No high school diploma -> Male -> White","","220,524"
"","No Income","205,120"
"","$5,000 to $9,999","8,998"
"","$10,000 to $14,999","3,871"
"","$15,000 to $24,999","2,042"
"","$25,000 to $34,999","324"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","169"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> African American","","24,648"
"","No Income","22,393"
"","$5,000 to $9,999","1,924"
"","$10,000 to $14,999","254"
"","$15,000 to $24,999","77"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Native American","","1,424"
"","No Income","1,290"
"","$5,000 to $9,999","58"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","76"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Asian","","56,653"
"","No Income","53,972"
"","$5,000 to $9,999","1,179"
"","$10,000 to $14,999","814"
"","$15,000 to $24,999","375"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","201"
"","$50,000 to $74,999","112"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Other","","109,254"
"","No Income","103,523"
"","$5,000 to $9,999","3,194"
"","$10,000 to $14,999","1,135"
"","$15,000 to $24,999","1,352"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","50"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female","","392,514"
" -> 00 to 17 -> No high school diploma -> Female -> White","","208,040"
"","No Income","194,157"
"","$5,000 to $9,999","7,492"
"","$10,000 to $14,999","3,761"
"","$15,000 to $24,999","2,126"
"","$25,000 to $34,999","264"
"","$35,000 to $49,999","91"
"","$50,000 to $74,999","149"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> African American","","24,076"
"","No Income","21,368"
"","$5,000 to $9,999","1,503"
"","$10,000 to $14,999","1,125"
"","$15,000 to $24,999","80"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> Native American","","1,676"
"","No Income","1,666"
"","$5,000 to $9,999","10"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> Asian","","51,113"
"","No Income","49,118"
"","$5,000 to $9,999","650"
"","$10,000 to $14,999","634"
"","$15,000 to $24,999","482"
"","$25,000 to $34,999","229"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> Other","","107,609"
"","No Income","102,787"
"","$5,000 to $9,999","3,498"
"","$10,000 to $14,999","836"
"","$15,000 to $24,999","234"
"","$25,000 to $34,999","163"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","91"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent","","29,078"
" -> 00 to 17 -> High school or equivalent -> Male","","12,480"
" -> 00 to 17 -> High school or equivalent -> Male -> White","","6,706"
"","No Income","5,136"
"","$5,000 to $9,999","556"
"","$10,000 to $14,999","294"
"","$15,000 to $24,999","181"
"","$25,000 to $34,999","335"
"","$35,000 to $49,999","71"
"","$50,000 to $74,999","62"
"","$75,000 and over","71"
" -> 00 to 17 -> High school or equivalent -> Male -> African American","","414"
"","No Income","351"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","63"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Native American","","0"
"","No Income","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Asian","","1,977"
"","No Income","1,911"
"","$5,000 to $9,999","66"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Other","","3,383"
"","No Income","3,204"
"","$5,000 to $9,999","49"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","130"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female","","16,598"
" -> 00 to 17 -> High school or equivalent -> Female -> White","","8,963"
"","No Income","6,611"
"","$5,000 to $9,999","979"
"","$10,000 to $14,999","174"
"","$15,000 to $24,999","1,036"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","163"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> African American","","915"
"","No Income","797"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","118"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> Native American","","0"
"","No Income","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> Asian","","2,875"
"","No Income","2,607"
"","$5,000 to $9,999","268"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> Other","","3,845"
"","No Income","3,262"
"","$5,000 to $9,999","482"
"","$10,000 to $14,999","17"
"","$15,000 to $24,999","84"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree","","11,535"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male","","6,207"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> White","","3,021"
"","No Income","2,214"
"","$5,000 to $9,999","280"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","162"
"","$25,000 to $34,999","324"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","41"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> African American","","658"
"","No Income","603"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","55"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Native American","","0"
"","No Income","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Asian","","1,341"
"","No Income","1,172"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","169"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Other","","1,187"
"","No Income","372"
"","$5,000 to $9,999","529"
"","$10,000 to $14,999","201"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","85"
"","$75,000 and over","0"
