"Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2013)"
"Weight: PUMS person weight (PWGTP)"
"Universe:"
"Selected Geographies:"
"  California"
"","","Selected Geographies"
"Group","Recode for Total person's income (use ADJINC to adjust to constant dollars)","California"
"","Total","28,039,352"
" -> 00 to 17","","1,440,688"
" -> 00 to 17 -> Children under 15","","567,065"
" -> 00 to 17 -> Children under 15 -> Male","","295,206"
" -> 00 to 17 -> Children under 15 -> Male -> White","","170,345"
"","No Income","165,086"
"","$5,000 to $9,999","3,051"
"","$10,000 to $14,999","949"
"","$15,000 to $24,999","549"
"","$25,000 to $34,999","291"
"","$35,000 to $49,999","296"
"","$50,000 to $74,999","123"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> African American","","17,214"
"","No Income","15,700"
"","$5,000 to $9,999","1,207"
"","$10,000 to $14,999","193"
"","$15,000 to $24,999","114"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> Native American","","923"
"","No Income","923"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> Asian","","26,364"
"","No Income","25,174"
"","$5,000 to $9,999","350"
"","$10,000 to $14,999","114"
"","$15,000 to $24,999","284"
"","$25,000 to $34,999","442"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> Other","","80,360"
"","No Income","76,542"
"","$5,000 to $9,999","2,801"
"","$10,000 to $14,999","1,017"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female","","271,859"
" -> 00 to 17 -> Children under 15 -> Female -> White","","163,488"
"","No Income","158,373"
"","$5,000 to $9,999","3,125"
"","$10,000 to $14,999","1,260"
"","$15,000 to $24,999","631"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","99"
" -> 00 to 17 -> Children under 15 -> Female -> African American","","18,144"
"","No Income","17,184"
"","$5,000 to $9,999","861"
"","$10,000 to $14,999","56"
"","$15,000 to $24,999","43"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> Native American","","1,621"
"","No Income","1,524"
"","$5,000 to $9,999","97"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> Asian","","26,150"
"","No Income","25,881"
"","$5,000 to $9,999","269"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> Other","","62,456"
"","No Income","60,632"
"","$5,000 to $9,999","1,325"
"","$10,000 to $14,999","207"
"","$15,000 to $24,999","167"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","125"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma","","825,303"
" -> 00 to 17 -> No high school diploma -> Male","","416,188"
" -> 00 to 17 -> No high school diploma -> Male -> White","","229,638"
"","No Income","218,321"
"","$5,000 to $9,999","6,592"
"","$10,000 to $14,999","2,668"
"","$15,000 to $24,999","1,416"
"","$25,000 to $34,999","92"
"","$35,000 to $49,999","481"
"","$50,000 to $74,999","0"
"","$75,000 and over","68"
" -> 00 to 17 -> No high school diploma -> Male -> African American","","31,954"
"","No Income","29,129"
"","$5,000 to $9,999","2,196"
"","$10,000 to $14,999","484"
"","$15,000 to $24,999","145"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Native American","","1,410"
"","No Income","1,138"
"","$5,000 to $9,999","101"
"","$10,000 to $14,999","171"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Asian","","52,372"
"","No Income","51,770"
"","$5,000 to $9,999","411"
"","$10,000 to $14,999","120"
"","$15,000 to $24,999","71"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Other","","100,814"
"","No Income","98,149"
"","$5,000 to $9,999","1,662"
"","$10,000 to $14,999","558"
"","$15,000 to $24,999","260"
"","$25,000 to $34,999","185"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female","","409,115"
" -> 00 to 17 -> No high school diploma -> Female -> White","","237,316"
"","No Income","225,102"
"","$5,000 to $9,999","7,152"
"","$10,000 to $14,999","3,309"
"","$15,000 to $24,999","1,284"
"","$25,000 to $34,999","184"
"","$35,000 to $49,999","129"
"","$50,000 to $74,999","0"
"","$75,000 and over","156"
" -> 00 to 17 -> No high school diploma -> Female -> African American","","25,169"
"","No Income","23,827"
"","$5,000 to $9,999","1,089"
"","$10,000 to $14,999","188"
"","$15,000 to $24,999","65"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> Native American","","2,095"
"","No Income","1,768"
"","$5,000 to $9,999","307"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","20"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> Asian","","52,245"
"","No Income","50,593"
"","$5,000 to $9,999","617"
"","$10,000 to $14,999","586"
"","$15,000 to $24,999","320"
"","$25,000 to $34,999","129"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> Other","","92,290"
"","No Income","88,873"
"","$5,000 to $9,999","1,900"
"","$10,000 to $14,999","1,374"
"","$15,000 to $24,999","80"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","63"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent","","37,423"
" -> 00 to 17 -> High school or equivalent -> Male","","18,388"
" -> 00 to 17 -> High school or equivalent -> Male -> White","","10,845"
"","No Income","8,830"
"","$5,000 to $9,999","655"
"","$10,000 to $14,999","1,133"
"","$15,000 to $24,999","42"
"","$25,000 to $34,999","54"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","131"
" -> 00 to 17 -> High school or equivalent -> Male -> African American","","911"
"","No Income","911"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Native American","","16"
"","No Income","16"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Asian","","2,564"
"","No Income","2,523"
"","$5,000 to $9,999","41"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Other","","4,052"
"","No Income","3,311"
"","$5,000 to $9,999","281"
"","$10,000 to $14,999","344"
"","$15,000 to $24,999","116"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female","","19,035"
" -> 00 to 17 -> High school or equivalent -> Female -> White","","9,597"
"","No Income","8,289"
"","$5,000 to $9,999","1,008"
"","$10,000 to $14,999","52"
"","$15,000 to $24,999","125"
"","$25,000 to $34,999","42"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","81"
" -> 00 to 17 -> High school or equivalent -> Female -> African American","","3,003"
"","No Income","2,626"
"","$5,000 to $9,999","65"
"","$10,000 to $14,999","312"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> Native American","","37"
"","No Income","37"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> Asian","","2,417"
"","No Income","2,365"
"","$5,000 to $9,999","52"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> Other","","3,981"
"","No Income","3,848"
"","$5,000 to $9,999","87"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","46"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree","","10,897"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male","","4,890"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> White","","2,751"
"","No Income","2,032"
"","$5,000 to $9,999","397"
"","$10,000 to $14,999","154"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","168"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> African American","","348"
"","No Income","348"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Native American","","0"
"","No Income","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Asian","","1,062"
"","No Income","951"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","68"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","43"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Other","","729"
"","No Income","729"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
