"Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2022)"
"Weight: PUMS person weight (PWGTP)"
"Universe:"
"Selected Geographies:"
"  California"
"","","Selected Geographies"
"Group","Recode for Total person's income (use ADJINC to adjust to constant dollars)","California"
"","Total","30,211,827"
" -> 00 to 17","","1,349,060"
" -> 00 to 17 -> Children under 15","","468,010"
" -> 00 to 17 -> Children under 15 -> Male","","242,888"
" -> 00 to 17 -> Children under 15 -> Male -> White","","76,607"
"","No Income","73,965"
"","$5,000 to $9,999","1,362"
"","$10,000 to $14,999","615"
"","$15,000 to $24,999","488"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","82"
"","$50,000 to $74,999","95"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> African American","","14,240"
"","No Income","13,366"
"","$5,000 to $9,999","241"
"","$10,000 to $14,999","633"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> Native American","","2,972"
"","No Income","2,775"
"","$5,000 to $9,999","159"
"","$10,000 to $14,999","38"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> Asian","","23,448"
"","No Income","23,088"
"","$5,000 to $9,999","117"
"","$10,000 to $14,999","114"
"","$15,000 to $24,999","129"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> Other","","125,621"
"","No Income","121,124"
"","$5,000 to $9,999","1,727"
"","$10,000 to $14,999","1,386"
"","$15,000 to $24,999","777"
"","$25,000 to $34,999","460"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","147"
" -> 00 to 17 -> Children under 15 -> Female","","225,122"
" -> 00 to 17 -> Children under 15 -> Female -> White","","62,613"
"","No Income","60,846"
"","$5,000 to $9,999","881"
"","$10,000 to $14,999","409"
"","$15,000 to $24,999","477"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> African American","","12,355"
"","No Income","11,073"
"","$5,000 to $9,999","913"
"","$10,000 to $14,999","369"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> Native American","","3,036"
"","No Income","3,021"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","15"
" -> 00 to 17 -> Children under 15 -> Female -> Asian","","21,307"
"","No Income","20,244"
"","$5,000 to $9,999","414"
"","$10,000 to $14,999","289"
"","$15,000 to $24,999","124"
"","$25,000 to $34,999","236"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> Other","","125,811"
"","No Income","121,897"
"","$5,000 to $9,999","2,423"
"","$10,000 to $14,999","573"
"","$15,000 to $24,999","660"
"","$25,000 to $34,999","166"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","92"
" -> 00 to 17 -> No high school diploma","","835,268"
" -> 00 to 17 -> No high school diploma -> Male","","430,824"
" -> 00 to 17 -> No high school diploma -> Male -> White","","123,582"
"","No Income","110,799"
"","$5,000 to $9,999","6,853"
"","$10,000 to $14,999","2,633"
"","$15,000 to $24,999","1,905"
"","$25,000 to $34,999","276"
"","$35,000 to $49,999","62"
"","$50,000 to $74,999","512"
"","$75,000 and over","542"
" -> 00 to 17 -> No high school diploma -> Male -> African American","","21,853"
"","No Income","19,250"
"","$5,000 to $9,999","1,693"
"","$10,000 to $14,999","598"
"","$15,000 to $24,999","79"
"","$25,000 to $34,999","233"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Native American","","4,211"
"","No Income","3,937"
"","$5,000 to $9,999","181"
"","$10,000 to $14,999","29"
"","$15,000 to $24,999","64"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Asian","","55,630"
"","No Income","51,196"
"","$5,000 to $9,999","1,881"
"","$10,000 to $14,999","1,637"
"","$15,000 to $24,999","734"
"","$25,000 to $34,999","39"
"","$35,000 to $49,999","143"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Other","","225,548"
"","No Income","206,276"
"","$5,000 to $9,999","10,456"
"","$10,000 to $14,999","4,257"
"","$15,000 to $24,999","3,737"
"","$25,000 to $34,999","691"
"","$35,000 to $49,999","131"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female","","404,444"
" -> 00 to 17 -> No high school diploma -> Female -> White","","114,363"
"","No Income","98,336"
"","$5,000 to $9,999","8,972"
"","$10,000 to $14,999","3,825"
"","$15,000 to $24,999","2,510"
"","$25,000 to $34,999","547"
"","$35,000 to $49,999","173"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> African American","","17,809"
"","No Income","14,938"
"","$5,000 to $9,999","1,279"
"","$10,000 to $14,999","1,515"
"","$15,000 to $24,999","77"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> Native American","","4,481"
"","No Income","3,791"
"","$5,000 to $9,999","555"
"","$10,000 to $14,999","135"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> Asian","","52,450"
"","No Income","49,265"
"","$5,000 to $9,999","2,085"
"","$10,000 to $14,999","366"
"","$15,000 to $24,999","734"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> Other","","215,341"
"","No Income","197,467"
"","$5,000 to $9,999","9,157"
"","$10,000 to $14,999","4,796"
"","$15,000 to $24,999","2,710"
"","$25,000 to $34,999","622"
"","$35,000 to $49,999","386"
"","$50,000 to $74,999","203"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent","","36,968"
" -> 00 to 17 -> High school or equivalent -> Male","","20,625"
" -> 00 to 17 -> High school or equivalent -> Male -> White","","4,987"
"","No Income","3,148"
"","$5,000 to $9,999","711"
"","$10,000 to $14,999","664"
"","$15,000 to $24,999","397"
"","$25,000 to $34,999","67"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> African American","","869"
"","No Income","725"
"","$5,000 to $9,999","144"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Native American","","254"
"","No Income","237"
"","$5,000 to $9,999","17"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Asian","","2,583"
"","No Income","1,983"
"","$5,000 to $9,999","368"
"","$10,000 to $14,999","69"
"","$15,000 to $24,999","163"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Other","","11,932"
"","No Income","9,354"
"","$5,000 to $9,999","1,389"
"","$10,000 to $14,999","288"
"","$15,000 to $24,999","326"
"","$25,000 to $34,999","326"
"","$35,000 to $49,999","226"
"","$50,000 to $74,999","0"
"","$75,000 and over","23"
" -> 00 to 17 -> High school or equivalent -> Female","","16,343"
" -> 00 to 17 -> High school or equivalent -> Female -> White","","4,697"
"","No Income","3,565"
"","$5,000 to $9,999","165"
"","$10,000 to $14,999","958"
"","$15,000 to $24,999","9"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> African American","","265"
"","No Income","78"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","187"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> Native American","","398"
"","No Income","152"
"","$5,000 to $9,999","189"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","57"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> Asian","","1,326"
"","No Income","1,217"
"","$5,000 to $9,999","109"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> Other","","9,657"
"","No Income","7,995"
"","$5,000 to $9,999","1,092"
"","$10,000 to $14,999","399"
"","$15,000 to $24,999","171"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree","","8,814"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male","","3,185"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> White","","713"
"","No Income","713"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> African American","","422"
"","No Income","101"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","321"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Native American","","151"
"","No Income","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","151"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Asian","","1,262"
"","No Income","630"
"","$5,000 to $9,999","122"
"","$10,000 to $14,999","93"
"","$15,000 to $24,999","142"
"","$25,000 to $34,999","181"
"","$35,000 to $49,999","94"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Other","","637"
"","No Income","553"
"","$5,000 to $9,999","34"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","50"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
