"Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2019)"
"Weight: PUMS person weight (PWGTP)"
"Universe:"
"Selected Geographies:"
"  California"
"","","Selected Geographies"
"Group","Recode for Total person's income (use ADJINC to adjust to constant dollars)","California"
"","Total","30,214,074"
" -> 00 to 17","","1,334,185"
" -> 00 to 17 -> Children under 15","","480,702"
" -> 00 to 17 -> Children under 15 -> Male","","256,725"
" -> 00 to 17 -> Children under 15 -> Male -> White","","148,293"
"","No Income","142,447"
"","$5,000 to $9,999","3,661"
"","$10,000 to $14,999","719"
"","$15,000 to $24,999","1,289"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","72"
"","$75,000 and over","105"
" -> 00 to 17 -> Children under 15 -> Male -> African American","","13,236"
"","No Income","11,700"
"","$5,000 to $9,999","942"
"","$10,000 to $14,999","518"
"","$15,000 to $24,999","76"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> Native American","","1,718"
"","No Income","1,654"
"","$5,000 to $9,999","33"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","31"
" -> 00 to 17 -> Children under 15 -> Male -> Asian","","28,328"
"","No Income","28,262"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","66"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Male -> Other","","65,150"
"","No Income","61,646"
"","$5,000 to $9,999","2,017"
"","$10,000 to $14,999","1,040"
"","$15,000 to $24,999","317"
"","$25,000 to $34,999","87"
"","$35,000 to $49,999","43"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female","","223,977"
" -> 00 to 17 -> Children under 15 -> Female -> White","","123,271"
"","No Income","119,232"
"","$5,000 to $9,999","2,387"
"","$10,000 to $14,999","863"
"","$15,000 to $24,999","615"
"","$25,000 to $34,999","55"
"","$35,000 to $49,999","119"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> African American","","12,840"
"","No Income","12,301"
"","$5,000 to $9,999","373"
"","$10,000 to $14,999","166"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> Native American","","1,329"
"","No Income","1,329"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> Asian","","25,494"
"","No Income","24,568"
"","$5,000 to $9,999","430"
"","$10,000 to $14,999","176"
"","$15,000 to $24,999","146"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","174"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Children under 15 -> Female -> Other","","61,043"
"","No Income","59,385"
"","$5,000 to $9,999","1,120"
"","$10,000 to $14,999","395"
"","$15,000 to $24,999","143"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma","","806,572"
" -> 00 to 17 -> No high school diploma -> Male","","410,467"
" -> 00 to 17 -> No high school diploma -> Male -> White","","225,324"
"","No Income","209,011"
"","$5,000 to $9,999","8,368"
"","$10,000 to $14,999","4,238"
"","$15,000 to $24,999","3,390"
"","$25,000 to $34,999","104"
"","$35,000 to $49,999","110"
"","$50,000 to $74,999","70"
"","$75,000 and over","33"
" -> 00 to 17 -> No high school diploma -> Male -> African American","","24,452"
"","No Income","22,462"
"","$5,000 to $9,999","1,750"
"","$10,000 to $14,999","120"
"","$15,000 to $24,999","120"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Native American","","2,309"
"","No Income","1,941"
"","$5,000 to $9,999","151"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","217"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Asian","","53,709"
"","No Income","51,655"
"","$5,000 to $9,999","864"
"","$10,000 to $14,999","812"
"","$15,000 to $24,999","255"
"","$25,000 to $34,999","123"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Male -> Other","","104,673"
"","No Income","96,046"
"","$5,000 to $9,999","5,221"
"","$10,000 to $14,999","1,624"
"","$15,000 to $24,999","1,594"
"","$25,000 to $34,999","43"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","145"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female","","396,105"
" -> 00 to 17 -> No high school diploma -> Female -> White","","216,641"
"","No Income","201,049"
"","$5,000 to $9,999","8,513"
"","$10,000 to $14,999","4,024"
"","$15,000 to $24,999","2,704"
"","$25,000 to $34,999","169"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","61"
"","$75,000 and over","121"
" -> 00 to 17 -> No high school diploma -> Female -> African American","","25,219"
"","No Income","23,981"
"","$5,000 to $9,999","406"
"","$10,000 to $14,999","631"
"","$15,000 to $24,999","141"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","60"
" -> 00 to 17 -> No high school diploma -> Female -> Native American","","2,577"
"","No Income","2,206"
"","$5,000 to $9,999","67"
"","$10,000 to $14,999","270"
"","$15,000 to $24,999","34"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> Asian","","50,947"
"","No Income","48,586"
"","$5,000 to $9,999","1,622"
"","$10,000 to $14,999","402"
"","$15,000 to $24,999","147"
"","$25,000 to $34,999","190"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> No high school diploma -> Female -> Other","","100,721"
"","No Income","91,485"
"","$5,000 to $9,999","5,922"
"","$10,000 to $14,999","2,047"
"","$15,000 to $24,999","1,212"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","55"
" -> 00 to 17 -> High school or equivalent","","35,208"
" -> 00 to 17 -> High school or equivalent -> Male","","15,843"
" -> 00 to 17 -> High school or equivalent -> Male -> White","","8,223"
"","No Income","6,262"
"","$5,000 to $9,999","544"
"","$10,000 to $14,999","267"
"","$15,000 to $24,999","495"
"","$25,000 to $34,999","357"
"","$35,000 to $49,999","178"
"","$50,000 to $74,999","61"
"","$75,000 and over","59"
" -> 00 to 17 -> High school or equivalent -> Male -> African American","","1,119"
"","No Income","766"
"","$5,000 to $9,999","67"
"","$10,000 to $14,999","60"
"","$15,000 to $24,999","154"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","72"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Native American","","29"
"","No Income","29"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Asian","","2,185"
"","No Income","1,610"
"","$5,000 to $9,999","299"
"","$10,000 to $14,999","82"
"","$15,000 to $24,999","154"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","40"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Male -> Other","","4,287"
"","No Income","3,104"
"","$5,000 to $9,999","435"
"","$10,000 to $14,999","282"
"","$15,000 to $24,999","235"
"","$25,000 to $34,999","133"
"","$35,000 to $49,999","68"
"","$50,000 to $74,999","30"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female","","19,365"
" -> 00 to 17 -> High school or equivalent -> Female -> White","","10,681"
"","No Income","8,078"
"","$5,000 to $9,999","1,769"
"","$10,000 to $14,999","739"
"","$15,000 to $24,999","95"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> African American","","633"
"","No Income","435"
"","$5,000 to $9,999","99"
"","$10,000 to $14,999","57"
"","$15,000 to $24,999","42"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> Native American","","0"
"","No Income","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> High school or equivalent -> Female -> Asian","","2,772"
"","No Income","2,504"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","95"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","173"
" -> 00 to 17 -> High school or equivalent -> Female -> Other","","5,279"
"","No Income","4,355"
"","$5,000 to $9,999","545"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","322"
"","$25,000 to $34,999","57"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree","","11,703"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male","","4,724"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> White","","2,625"
"","No Income","2,272"
"","$5,000 to $9,999","65"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","133"
"","$25,000 to $34,999","25"
"","$35,000 to $49,999","130"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> African American","","434"
"","No Income","299"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","135"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Native American","","130"
"","No Income","130"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Asian","","939"
"","No Income","790"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","149"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
" -> 00 to 17 -> Some college, less than 4-yr degree -> Male -> Other","","596"
"","No Income","536"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","60"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
