RegionID,SizeRank,RegionName,RegionType,StateName,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31
102001,0,United States,country,,36331.54655058151,36264.09592804851,36498.72068315833,36455.737244392396,36235.541304305836,36002.15816373574,35773.606108841544,36028.620122934095,35853.98522886101,35659.061024300194,35725.29983569151,35864.47376963246,35632.696611199644,36171.112269700236,36473.09703632116,36345.10699349959,36871.55530004179,38780.99886083501,39997.074487633465,40545.924257906205,40908.092430930614,40224.68511345882,40653.18758503046,41524.12900613205,41198.03681961548,40966.413657275734,41296.037145712304,41477.447354452444,41216.98052344567,41316.594183676,41402.65151258129,41504.57898125278,41807.229552968856,41481.837373270195,41476.909343369734,41178.54855904073,40329.241469906,40631.30129491637,41005.73844193309,40864.97615587628,41640.096686282144,42330.80898455484,42761.51769558528,42490.01976067286,42676.87668733545,42598.564900913356,43339.78318983942,43643.052318396396,43367.47929692648,42846.15260772234,43142.50730981464,42986.44619314428,43129.743936048275,43208.92049569867,42900.927323905744,43022.787984625495,43264.37909365634,43490.17697926487,44797.907242821675,46637.28079765012,46709.235792366286,47019.966665754015,47382.070730101055,47067.970779547104,47172.96051385778,46986.25023387325,47425.97575132105,47281.22996092483,47191.50832555195,47775.379422293976,48131.23911289203,48503.95912743227,48822.205249527615,50296.921839407325,51073.96325050686,51450.00722858991,52225.39752097093,52357.688122153035,52426.138816337545,52764.26153846709,53345.64065577197,54410.84069232547,54747.13000544852,53920.162212403375,53144.2843304027,52977.95001012157,52776.03866975098,52469.22189725027,52333.92751220772,51316.62439005973,51293.171387512484,50803.36349377575,50887.87050716473,51424.804518427285,51696.40803913011,52087.95872967394,51646.05302627166,51253.37184624628,51499.71487960632,51137.48861399823,50974.12326142426,50764.75409160217,50272.81598253719,50234.95155989212,50558.45334216874,50941.030426753205,51339.265868014176,51659.919798541756,51740.46598725289,52739.60160662613,54717.46797773827,55378.10352093887,55750.6497263142,56718.59306058661,56994.94111528429,57443.13666591963,58093.07471477815,59312.82665693343,59791.97680886365,60542.26322255084,62669.04974021299,65471.75202085165,69107.22929968953,75439.57405865619,78271.50120071131,81277.52542040657,81101.76485164757,79923.20154732987,85794.8231353786,91153.62662345148,90244.69135487174,86910.16030434653,86183.80663209608,85876.83938245881,87907.17870814934,86737.56830054004,87774.52817849885,90364.87008808751,91725.26619163668,93845.44540709189,95238.15888784705,98637.81539562879,97543.14635974835,92985.13334188984,92005.95381467232,93230.60470412548,93987.20372334858,95848.49082398228,96745.10398698998,95815.40986385793,95340.16800407448,92804.24515498674,90796.17580508941,92765.79831273753,95710.52153186862,95212.65500660749,92538.23793291143
394913,1,"New York, NY",msa,NY,94652.15759175448,94282.55043701167,94710.01749737251,94545.72950110094,94005.11203039945,93305.3695474351,92565.22121543472,92897.66396315143,92239.88454735372,91479.90234834091,91324.45674109126,91298.46288115118,91056.96857673273,92078.50041038428,92560.72169374477,91996.71259824059,92893.41378700003,96949.23598105538,99510.1570381835,100631.50386502223,101388.19884635234,99752.65592860713,100585.35646036663,102327.92184271534,103539.11527799832,103045.19041147246,103991.48018183229,104663.10677302303,104276.00028368387,104526.57213709543,104551.34521151891,104575.57120354322,105144.2862240793,104459.33812483466,104498.45628197643,103730.38246616433,97431.8286493212,97776.85628352562,98332.82211581012,97756.47034866494,99283.22186162932,100629.79272501565,101437.03811816484,100783.20753632608,101262.25356693077,101232.80200001187,102968.14958664484,103670.21772241114,105228.33227926468,103902.95276050562,104336.91325236893,103881.69607564872,104137.91152848597,104265.4013405757,103566.41463603493,103674.30745780095,103952.78988090734,104208.10486702515,106907.86446761903,110937.58196383834,111825.43565904051,112590.3872292843,113399.20121628266,112865.68122776938,113201.68608925417,112857.48934459788,113763.08671559395,113417.35519262846,113174.8104347541,114357.11339379834,114958.19890389545,115614.8405062612,115842.48560954798,118795.70882582077,120242.00208257134,120916.39854065022,122617.71291649136,123023.2425684476,123237.7322646381,123943.58118211082,125112.90687263463,127247.35807318425,127811.85709583972,125849.99573124044,122186.214993874,121704.67389054922,121224.79741716746,120625.4359465068,120327.16178808517,118195.44418915945,118023.73168592017,116813.34514173238,116661.88153085775,117412.79698130114,117700.19082373862,118304.38101346816,117796.85608623618,116899.87432538971,117361.42617314831,116617.08971660199,116393.95738834333,115872.24795900482,114413.5190576037,113588.29490013329,113576.69271469967,113896.9662115597,114445.02953332292,115073.09059754112,116178.55618163652,118153.37563196731,121890.62705279392,122915.97171488211,123179.07174952669,124358.30676503853,124212.22929491354,124491.137351993,125362.9353243605,127450.49543502161,128189.46676841048,129327.19707171991,131443.60797819862,135794.2590941054,141657.69696072553,152419.33500456915,157012.4886157605,162107.04177872342,161785.40379020397,159683.06196941622,170076.057861212,179500.71398588535,177726.91499070503,171726.36967312472,168460.33694834763,167915.37807765655,171658.84483100302,169667.85178058315,171879.1479826554,176807.93008972306,179473.38787326452,183489.78507386998,186139.24571791373,192544.14707086363,190876.33965082545,183169.94638911128,179951.921353069,182913.31789079972,185058.95447009613,189264.26726303395,191543.9917584009,190410.38619543542,190206.64591454066,186365.5199533241,183284.5562377793,187676.52682278742,193782.78892467613,192987.12870044773,196782.51246425943
753899,2,"Los Angeles, CA",msa,CA,74377.6640996397,73909.96042220572,73851.4175576165,73123.17893468577,72183.04701297292,71461.28525728734,71010.86912239427,72099.60645987162,72484.2809700036,72979.91955274952,74077.40191539677,75312.0898920721,76805.21990039074,78301.83873118857,78912.01782345054,78612.83893605508,80241.03971806775,85589.04980014125,89473.33845501921,91791.82088448746,93807.86239478445,93041.21761146364,95023.01526908687,97942.28816863555,98352.74705248381,97509.61440988602,97966.6252879117,98257.95092104757,97421.86446559957,97576.5133684851,97680.3453426003,98067.87135097632,99376.17542990335,99274.36458852657,100031.58660195896,99779.71887717089,99462.2209025733,100164.51363462303,100788.57027842419,99932.93546577476,101591.17718830614,103154.9545231321,103897.12656695716,102374.5743062054,101681.75098503953,100169.92403931425,100800.47557122986,100346.646793705,100298.04859056647,100053.03416180145,102655.5381064694,103559.54275725955,104595.32254576142,105166.35587611239,104068.58295660026,103394.8419898094,102431.16052174882,101683.05053769157,104293.08532995475,108738.72825882753,108771.416319118,111225.23772578823,114184.61467430675,114539.77950035049,115473.45397746416,115328.13771872883,116220.18771573427,115284.13099363464,114446.02352600377,116032.43597443466,117116.97163726494,118386.73722589045,119318.78014949492,124191.06308791185,127009.96934406026,128450.32063204321,130784.38098828105,131313.0220508185,131557.67690153408,132943.40671114626,135372.2405497543,139474.34451432724,141078.56198981722,138826.42917883434,137529.76104582482,135124.15847410748,132344.03185480577,129943.34045649243,128647.69833580863,125309.89086087864,125055.74476452482,124084.19442850568,125133.26317064543,127355.04953520637,128592.20681432485,129939.96060714919,128825.16959689063,127245.44113275477,127228.29742783301,125732.85428195285,124726.67831225265,123430.6931438262,121717.52155570207,121696.47300659398,123078.95597112329,124686.54633112905,126355.65920895849,127739.4452017284,127749.30608959243,129667.10566572101,133666.51524844614,134588.00118702563,135028.699957772,137268.6314543771,137893.96853626776,139107.27949052988,141088.32081818243,144556.48094596944,146031.8458511437,148230.5598888058,154328.65364519192,161700.55039441632,171135.91577062156,187411.7158585776,194100.20107424038,200664.63074875306,199145.22246836234,195167.55871260975,209842.39537743528,223172.77256048936,220514.522457518,211699.35084262665,208913.55340340183,206102.97312268824,208897.63475085289,204802.85661605877,207213.14787724154,214293.1923520917,219337.6265181671,227024.9756278656,233045.84525057796,244169.04427260655,242965.36577908852,232023.49336722624,228155.03920820728,230068.89546412617,230698.34713795796,235025.22769791516,237848.51765753728,236025.39981523875,235738.34126194997,230159.73354840724,225685.7139000632,231771.38344261757,240386.31450635684,239554.23357078893,244616.38213316232
394463,3,"Chicago, IL",msa,IL,45832.38317277957,45431.19102634455,45432.37044659654,45123.4740300916,44642.7194262008,44242.33164959823,43908.76122725058,44085.10752727685,43782.736198352344,43403.58193893937,43238.357156422666,43184.88065306609,42174.36936076848,42795.23402032089,43199.16988733973,43232.96229734688,43846.1870850482,45928.33359549222,47264.271207448524,47988.27055904734,48516.29784022283,48022.98100241848,48698.30675770509,49844.37886616626,49333.659251461904,49245.26879387891,49716.31859656416,50004.599730830065,49798.678823861286,49945.353460920545,50084.14022980718,50221.89968344518,50549.191810042554,50231.814289371556,50231.58020117513,49899.91742090441,49427.28782759363,49650.541768289135,49999.82319922566,49792.80722674837,50604.727490659076,51295.65387200695,51729.716379750236,51394.945520572255,51544.061681912855,51478.08106891478,52298.76042669053,52675.42517824661,52553.05074639513,52061.168594844836,52380.90504453811,52235.50518569494,52376.30370437468,52448.262159478574,52082.57452124064,52159.288694455354,52358.20202360855,52585.9587713529,53936.97424778469,55893.507990377795,55368.20854721641,55781.00072880179,56280.13387935114,56001.58479262081,56121.37985556081,55796.63026880944,56113.358591713164,55818.515641968435,55690.91308036658,56286.4159995674,56686.30897794501,57108.66731330828,57381.03617635941,58959.07342027302,59838.76583039414,60253.03652517054,61016.31288710316,60987.494856744335,60828.01598000532,60920.42261295831,61297.093101183054,62237.30926578359,62488.96926284858,61643.19001772415,61148.315445245855,61038.619619717174,60863.4968927309,60556.394044639455,60356.42034075863,59255.19555755712,59060.53155094223,58388.44708627701,58244.86901321801,58574.760856007575,58656.595932127675,58914.81775515871,58600.419269722726,58251.20318400511,58523.037537936936,58130.148780296055,57859.62220252893,57481.79318033165,56789.09764478827,56545.432481447875,56718.57925918743,57033.377979130615,57415.323762692715,57738.528971526954,57348.45453898972,58355.97336819228,60276.24989032612,60876.65492653095,61076.618080984896,61748.986974429165,61771.065662722955,61954.69116685151,62280.596435007516,63096.592804754124,63245.336492281596,63710.77886450741,65591.98080719508,68042.67616126726,71274.25751306541,76824.12637413782,79060.39384719892,81339.20162140361,80854.12209489076,79611.94102820492,84458.58847224365,88929.06925507993,88143.35880633102,85355.87241717294,84099.79529266922,83972.78734570746,85913.98049373791,85167.59281321512,86329.3116936882,88881.78549173083,90406.19271336112,92604.56369614265,94082.69752631364,97263.16423673969,96420.72753553656,92489.33036998409,91556.77602979999,92855.08640814522,93866.38110115979,95923.8744760668,97007.72088378062,96399.2220516512,96148.8162390766,94075.41073497118,92443.00061142024,94357.38904881665,97195.46397558835,96934.64173345397,98983.26201879831
394514,4,"Dallas, TX",msa,TX,37635.48174717241,37611.25727915341,37886.54915284856,37923.817782115504,37771.139904225165,37623.35612253091,37495.3281802713,37790.998072593,37684.77672552249,37568.15294168842,37687.83739577467,37840.76027126726,38225.40205198172,38765.11557007174,39090.148913055826,38978.47889865766,39454.38674223956,41223.57076155142,42401.14592994184,42945.11993411425,43303.1252732321,42718.588070918944,43193.08765905787,44093.22009999672,43512.1564233614,43427.39005881763,43840.4249662029,44062.94138032061,43863.86286408956,44037.25201321605,44256.721331883724,44504.29801746541,44929.75749546062,44766.02528854749,44938.55887099306,44830.93688342814,43424.12838763537,43901.02737531599,44442.13113465524,44453.272409796766,45333.27844142157,46176.256233522305,46821.78555244219,46783.24735328285,47183.47197116203,47311.22329272913,48257.99114718267,48775.453886916126,49123.938708797825,48850.44102172192,49385.0306839022,49489.61671407784,49873.29645310439,50184.00705734965,50085.867783261434,50406.98845298941,50867.69680165913,51300.19815944007,52880.04698553992,54988.45504082859,54818.19691733151,55314.949600599466,55888.10618661289,55767.925097544045,56088.81456451037,56078.694153660595,56668.9784176422,56620.0816107199,56631.8394186721,57370.329625453815,57882.78956248094,58434.616777527146,58152.55210697911,59890.18254202561,60846.609389635574,61354.90818033748,62279.12160018964,62473.844665908015,62552.91977075705,62870.479064295774,63428.61099940264,64510.84247482868,64820.81415009988,63926.73793841487,63977.94454652668,63789.052102823,63518.476182501065,63078.697787583005,62820.22036722872,61621.22428493201,61496.60088532596,60900.20340330564,60956.76350367892,61506.017808680386,61773.26747744627,62174.484850014356,61789.40960207979,61422.250651390204,61697.72705475599,61233.45159526739,60929.2903877528,60598.96090796788,60047.26350017552,60007.082207160594,60336.85699359073,60738.00721954072,61178.852737121415,61566.266278208896,60667.92233592494,61821.6173751672,64049.88180642019,64945.97757114672,65607.43813869565,66874.83330562265,67403.3289607792,68109.21072086159,69077.42322553297,70699.57123349617,71577.78331349177,72757.74227599756,74286.55527889974,77950.60728408731,82593.69057676132,90215.97823657183,93992.70690350179,97922.3085721104,98086.96202520526,96851.64048289403,103333.0336341488,109122.78245992397,107897.51091046713,103940.5245270882,101044.08752592176,100366.32755602524,102235.65249057104,100563.64081254213,101361.59267572072,103888.98528201642,105151.02070767622,107246.83123135939,108567.09714943633,111996.20880608923,110627.17066767647,105544.6361802172,105683.41726707484,106927.35088911356,107652.18447246049,109438.30008639862,110052.9756604187,108742.77970395723,107957.09714802635,105056.82419765867,102880.7611946057,104770.29475529146,107647.44582500264,106805.05215869569,108578.56971145415
394692,5,"Houston, TX",msa,TX,30518.088641198625,30500.651050026754,30717.203415502223,30632.440670134118,30360.07133565671,30096.164260178866,29857.312514378762,30084.293488895437,29903.022528732563,29682.013669736105,29678.300101437253,29725.297320955448,29979.98601218336,30390.912382037575,30641.47755655938,30518.852650122924,30976.444090602752,32667.881019267166,33786.886620616744,34326.88325259516,34683.25031512718,34109.10863170912,34551.902722402,35417.98596680033,41454.717723544854,41422.185544983455,41917.68103602141,42261.33820173962,42181.28016661143,42430.857079426,42716.853960012886,43054.386487936186,43581.43496168508,43514.72021726786,43758.765941400765,43721.50099885857,43727.27746728784,44249.513664613674,44837.03403220577,44872.85311969403,45764.90100055343,46567.159227980774,47105.274909711974,46943.48020355616,47176.231899572136,47119.982604454155,47859.85177136233,48186.38346638399,49763.730934985615,49283.734988257595,49578.42069643985,49415.25828382546,49538.62258014525,49597.13933882128,49268.331759062654,49343.43601134751,49552.80016878512,49744.342307314946,51006.99694456357,52752.531931436664,53088.237297747815,53271.03091669982,53528.54340596469,53167.92571504296,53223.02277763683,52991.80137588728,53326.58726537001,53121.42068984059,52961.40082396485,53464.686628840085,53756.635463062245,54068.792658866216,53608.01064439819,54884.68642580796,55510.85148035162,55798.770128142205,56511.65670533357,56653.374128719566,56714.324153235095,57001.36172694194,57512.35212346819,58507.95181501167,58842.14593443608,58096.40044476511,52103.9067690098,51908.99555558057,51661.29759811467,51300.08190116446,51119.660791754315,50115.556507925714,50041.83504068574,49537.19134327096,49596.90656369152,50061.353033910054,50271.67004015601,50569.11822338066,50967.88138936462,50523.17279572708,50646.97297351995,50196.600923302154,49931.66138306627,49673.431797059944,49202.39509835659,49130.238859415724,49307.598380646545,49513.97018110701,49751.14171620537,49939.457608260185,52363.43232003543,53186.716478386974,54906.50775355203,55451.68287710914,55772.81158396723,56636.98250508499,56908.004707974884,57363.85911634417,58047.88376444142,59290.65273099014,59898.199641246174,60728.73910714556,59080.133103794506,61699.65023432769,65080.77093924805,70843.5875471745,73486.91502781646,76296.50400390022,76348.46417774323,75513.54337874903,81096.49422637357,86126.99727049872,85379.0103672667,82261.0415246596,82226.24414311266,81725.36230390832,83307.09893704203,81938.23228196571,82588.98673099524,84711.43664326123,85779.97368533473,87534.85869649929,88655.5857302348,91461.63006331207,90307.50165641817,86090.26874771582,83581.63106707034,84605.89269331696,85208.35802674624,86748.94804325937,87366.36811263033,86404.61504545982,85874.64045569723,83563.55718159389,81846.08361807179,83384.96921973296,85746.1999903967,85120.00490565224,86689.79328469101
395209,6,"Washington, DC",msa,VA,63738.62138580753,63696.793554279284,64275.12476333922,64374.17324214231,64064.33875292666,63747.629967370085,63371.890995919486,64054.725302073086,63886.5831848804,63702.61898525232,64009.52995572615,64353.19322287652,65721.72231301977,66818.39223532165,67407.03238917612,67087.47073870694,68051.43887083407,71883.88889191292,74309.51229105936,75360.27033248525,76070.06744542744,74627.02680659824,75539.99727746336,77333.34614861908,79614.78006718119,79066.64106603742,79665.291509726,80004.85242088005,79305.19116695168,79301.6863386829,79156.37654238103,79086.46019826317,79520.65898166574,78802.15203436774,78721.30969069022,77925.13970594782,76704.81319689381,77118.77164270349,77702.87581067179,77148.35153212406,78321.1086182115,79310.3643138535,79851.80942203723,79044.0736424199,79163.91508617194,78793.53340743501,80082.76039162882,80494.25940883315,80374.15024332014,79147.57971917388,79499.79165860865,78896.70789270311,78859.88451270113,78701.63595019038,77886.60494309143,77888.57063980233,78129.33114394282,78420.49543012031,80842.98690092529,84317.42530984986,84155.47176641607,84677.32803275263,85232.72985706225,84437.30479474369,84335.55216998667,83630.32137210121,84086.90155941395,83515.93577452884,83156.07150715444,84090.36059719579,84602.92935561635,85155.42798072315,85882.58984297776,88455.94710624941,89678.88011977931,90130.72672955166,91324.59553213444,91339.74613493489,91249.81094221,91646.84114707676,92529.08362692135,94351.25989410303,94863.24543586957,93264.38899404187,91978.68434307477,91538.41004361572,91121.98293448807,90601.56848493569,90337.7361487117,88414.56016809838,88215.56610553079,87208.32349035222,87255.80375951911,88095.20846478072,88446.84586938075,89050.76812936385,88173.74872444893,87489.02679398158,87923.0133321405,87265.5977899572,86931.89644942486,86456.0645634558,85446.4214095423,85241.72779126259,85676.81924436717,86236.79716817063,86784.88804311458,87175.29497924172,86764.60634915854,88291.89917309333,91566.5028179458,92564.73783716417,92938.99172366581,94086.97076767038,93809.20571098,93820.42205469694,94224.48241955666,95661.6218187791,95817.60862284973,96485.47392940991,100665.59445004037,104744.14713684985,110242.23906741374,120044.60103903983,124086.03480895086,128063.10354787306,126892.81211004911,124171.5572924394,132768.85474675594,140822.8650474425,139343.73301310634,134293.80415084827,133451.353591147,133228.1010619499,136452.80850628382,134615.43281836965,136218.84323630575,140421.38430190523,142722.11401378748,146112.41778520794,148188.11507544215,153464.4848623337,151600.76677617952,144396.71088842797,142612.116731979,144566.86615525265,145897.94397928548,149108.65082278432,150827.1295075906,149562.46421328906,148885.70582445714,144901.0038583872,141749.1524241853,145162.79405499305,150238.22381924465,149681.36791257877,153027.59779157973
394974,7,"Philadelphia, PA",msa,PA,47198.769469792736,47001.90735379588,47206.186852385326,47093.098466600764,46720.0432201123,46273.14397178134,45799.18449408431,45903.50478322209,45482.24392751027,45007.4484425548,44867.18230706248,44848.63917635324,48030.05877213948,48539.11836068691,48764.586590653256,48477.006304593866,48963.145201577296,51029.09950309755,52235.60524970306,52650.94197760621,52871.955357900806,51927.9651166085,52321.55312222859,53247.449598917694,49229.452835362565,48844.80869253766,49076.97668374316,49131.63683137825,48733.66917431048,48736.03909113421,48719.74280067977,48703.53894421069,48905.453080776424,48407.793354647365,48261.12226427587,47814.04389082894,46073.47174829227,46327.670664526995,46671.10908798552,46428.44935572801,47189.61618768788,47844.59593385087,48261.19836760399,47931.88671079166,48096.79317210471,47911.81925582607,48576.14460809682,48782.501160841915,49397.32561101697,48759.550852684544,48978.5296224693,48712.39296206498,48792.34241170754,48827.62393321318,48490.28267081456,48633.79471221282,48888.2593287116,49124.47111487318,50470.70891424046,52390.66002648349,51287.332513268775,51491.7779948053,51731.97203968251,51312.86522013688,51386.33755640494,51166.32527164755,51567.67149336198,51326.14084149765,51152.28576595364,51699.24935488619,52045.42994667628,52403.89970666138,55519.89543572819,57014.87342827287,57788.342369432045,58119.44702974633,58804.42126647742,58770.54335238976,58648.87142928611,58850.55501761722,59357.07598875391,60424.07103895593,60772.342674167645,59927.62366518501,61016.78741212066,60866.53105089175,60687.44327181092,60382.51268552881,60226.55654931488,59192.62055321872,59173.54368708878,58669.29644800632,58734.1906670387,59247.15502943829,59529.42604589491,59923.67073602338,55895.05785354182,55572.12290215366,55960.40848136521,55747.44169194037,55681.23352883881,55477.396571752935,54911.69645607926,54779.06718711607,55043.46677923058,55436.45382284554,55934.14171280759,56401.10104661353,56320.42943585893,57389.73776252555,59414.33613628963,60027.109199032886,60259.2025940218,61017.95866165679,60993.07311824661,61096.22826339699,61307.25978850734,62098.838505001164,62178.81684626631,62639.58033385406,64277.18090023436,66888.98306377362,70321.18501177637,76308.76384268996,78944.03713057567,81706.35980419011,81411.59556422221,80185.27321902293,85778.51837662456,91057.81524591958,90471.49336489147,87567.46027866822,87539.89046385071,87478.94018865864,89702.16415079801,88834.60835918781,90183.31277610603,93016.1787012561,94684.46447136112,97075.46801935305,98743.07114991738,102334.97493710236,101452.13278587293,97131.88225942351,95441.39150753821,96864.74474120022,97839.77626708717,99946.74065640519,101024.75844003957,100190.94454651738,99774.06458114336,97345.98982632624,95476.2723699358,97659.6700871197,100806.0185181606,100434.41364046575,102595.92692989578
394856,8,"Miami, FL",msa,FL,38046.14992822436,38014.93218041983,38211.123752763015,38116.34959454208,37885.42017533043,37731.727660783814,37610.48603667326,37979.23455647631,37933.09183194756,37866.52433585046,38091.1338325334,38444.774326521445,38260.01984676695,39125.00834865271,39782.83811013906,39980.52521220215,40834.38050102021,43052.4075675447,44606.33327450738,45478.342266339765,46179.12584788188,45767.87430423871,46508.57644429597,47731.559086545996,47866.192739398175,47908.14414537707,48553.14445622292,49036.5807751028,49034.23604336064,49382.82350481497,49717.58721568949,50061.78275285597,50644.76252740059,50526.36160958969,50772.77106368098,50681.127662183244,50214.050554324815,50742.833730195256,51324.26926375412,51296.84892312667,52341.663426796295,53296.22997006186,53971.255856062395,53822.415135079595,54217.73685912407,54295.245078603424,55346.7044396132,55823.289993739374,55947.19922513895,55373.48145154617,55870.86538309009,55853.34235019352,56188.81723223659,56421.452511553936,56219.49325141439,56527.27427270034,56963.166231188225,57388.01422865122,59073.594311972316,61313.79598576719,61268.4366837273,61657.7238687037,62212.289596450515,61912.763653548005,62080.03920087341,61887.752888715724,62493.87830811587,62409.14991647078,62364.280080470686,63136.79213859126,63631.501919857525,64194.424268464056,64953.48581866068,66781.55890150036,67652.34707094073,68051.39670488823,69011.55734225262,69234.78498431451,69402.65211169534,69882.16860953982,70643.77036046585,72049.60641882228,72605.278013858,71748.58892298324,71265.11197840612,71035.47183101195,70643.40206369145,70094.76102767547,69723.28840738544,68311.56697896941,68182.528584889,67545.0943096928,67664.41578058159,68354.05150966096,68759.03307861698,69341.2312349759,69386.02687532303,69036.13770580027,69398.17927847504,68879.47426549713,68538.15773907342,68143.34025155344,67452.71014696186,67356.27833532997,67667.93033821172,68038.2906373058,68467.25941690776,68845.53487731477,68340.36348306347,69501.25956733353,71821.36991891703,72536.98282679112,72969.47041142306,74205.6602106097,74753.50229162192,75634.96900724895,76840.67856053478,78718.46261779439,79692.49543869,81001.4332565099,83044.58562362903,87071.63878579871,92277.44937327104,100987.50341742429,105423.14072324781,110130.92537027707,110851.05272387917,110246.53581568069,118723.47111155372,126443.0891435025,125880.0848834341,122125.76001862765,122467.85797913016,122401.61143004143,125322.65063908053,123842.69666421684,125402.27939648232,129195.95747936149,131401.57053296626,134684.44521745207,137038.80603621158,142113.14468929137,141244.88634549678,135558.35331712992,134423.9032833844,136381.61228280308,137493.6184393407,140030.42979377328,141232.0348020743,139906.43581873807,139262.24752387338,135687.4984696942,132997.480044571,135406.39267964615,139038.80441811713,137901.6883103318,140252.13283125203
394347,9,"Atlanta, GA",msa,GA,28153.453339496944,27997.278876441833,28187.549366572865,28159.678800748567,27997.626379224817,27831.856384038907,27685.628992689588,27905.344939291877,27768.309430908463,27587.250893351393,27642.106706478797,27764.250994561007,27887.20367647653,28375.239645093032,28753.7774229158,28850.477266001388,29546.527599626443,31395.74363116293,32689.841699294666,33399.992931899666,33908.88043231192,33508.585964352416,34058.23269214196,35035.91623835796,36428.63984979154,36434.066497527085,36914.963558817064,37269.80126511483,37207.88836626177,37425.19783243131,37597.25045222805,37771.01725734762,38123.95404332888,37930.025826930025,38034.565913785715,37856.34459657994,36558.66698685155,36864.63956931578,37242.46887276727,37155.282112880115,37913.06362884147,38595.06399047081,39055.782564664616,38860.22698035727,39084.43018312722,39040.891218104676,39772.727227671836,40114.9982287607,39954.416444072536,39558.61369455191,39921.577206901435,39879.28853688862,40101.42386853779,40229.49230785259,39953.37681842877,40062.04221176002,40310.317340927264,40580.00972554982,41910.435752957186,43771.97815953429,43945.326810458275,44331.26568142236,44752.936807564525,44515.02397020728,44663.51598364963,44511.87210881228,44990.03256529595,44907.77849678713,44886.0280951939,45501.41324319669,45939.95990779726,46456.17382472426,47238.23561111278,48832.72307504991,49698.40313695353,50138.47662870456,50959.71747058318,51145.265575986145,51291.116093276665,51705.72844694423,52401.99405189642,53604.00209867563,54108.624392032165,53466.41520328916,52949.534115160335,52859.865546858186,52672.82378118158,52353.76156619208,52217.26097320362,51182.62512135294,51149.45344370206,50656.45490125204,50757.0535651168,51300.97046758331,51581.211515884264,52012.90165407492,52039.65778367868,51713.88863811415,51979.69407301399,51584.52241690831,51356.25998697177,51108.104856661404,50613.60791267109,50600.20262006315,50934.03764413124,51356.70364694259,51812.66170252837,52220.64541856614,51803.14373384884,52951.0277886754,55112.681512714946,55915.24024980121,56414.32190616527,57523.841264295676,57950.581066545325,58619.124652603,59603.41846361432,61290.78393512121,62257.57439116414,63516.88885534055,66589.52132981895,70029.34912335525,74301.0814118326,81385.79804089738,84663.43739082315,88069.97849158205,88005.39460225626,86828.95771350751,93306.07041541878,99154.81775033577,98110.34218162805,94370.33549238495,93619.5520047345,93206.23804881648,95340.37061563296,93921.67226372098,94924.31516512766,97629.64717436857,99117.16043501998,101435.85679532275,103012.24124991724,106756.11038721426,105640.06606279318,100768.1573613252,102219.9555163093,103570.92862059904,104370.56186665138,106340.97852339246,107217.96938191791,106120.43478161647,105515.46981005682,102683.61747834668,100366.50621189058,102215.9006325303,105026.34348998734,104086.87829931994,105833.2539726875
